CAMS 171 Monthly PM-2.5 (Local Conditions) Summary Report for January 2020,,,,,,,,,,,,,,,,,,,,,,,,
Austin Webberville Road AF171 - EPA Site: 48_453_0021,,,,,,,,,,,,,,,,,,,,,,,,
PM-2.5 (Local Conditions) (POC 3) measured in micrograms per cubic meter (local conditions),,,,,,,,,,,,,,,,,,,,,,,,
Data from this instrument meets EPA quality assurance criteria for regulatory purposes.,,,,,,,,,,,,,,,,,,,,,,,,
Central Standard Time,,,,,,,,,,,,,,,,,,,,,,,,
Date,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
1/1/2020,46,25,31,32,32,25,25,24,16,13,8,10,4,6,4,6,8,5,5,7,10,14,14,17
1/2/2020,18,11,7,11,15,11,11,9,18,18,22,18,13,13,8,7,7,8,10,9,10,9,9,14
1/3/2020,12,12,11,6,11,5,5,3,5,4,6,9,10,1,8,6,2,4,2,2,2,1,1,3
1/4/2020,2,1,5,0,0,6,5,4,-1,2,4,5,3,-4,4,6,-5,5,3,18,13,14,11,18
1/5/2020,20,16,8,5,4,3,6,1,3,7,2,6,9,-3,5,5,0,2,7,8,14,9,11,8
1/6/2020,6,5,6,7,5,10,6,10,10,16,AQI,AQI,13,5,7,8,4,9,7,16,13,10,0,8
1/7/2020,5,4,5,7,6,3,1,5,4,6,2,5,3,-1,2,1,1,7,6,10,11,17,18,18
1/8/2020,20,16,12,16,20,14,13,10,10,15,17,10,9,2,10,10,5,7,4,5,6,6,2,5
1/9/2020,5,7,5,4,5,5,6,4,7,7,8,5,7,7,9,5,8,2,6,8,6,7,6,7
1/10/2020,7,6,6,3,7,7,5,9,9,10,9,11,6,8,9,14,11,13,12,15,12,-2,2,7
1/11/2020,4,7,6,5,6,4,5,4,3,6,-2,3,2,1,0,3,2,3,9,10,8,7,7,7
1/12/2020,9,12,6,10,8,8,11,7,9,8,3,6,1,6,2,5,6,6,11,19,14,13,14,15
1/13/2020,15,13,15,11,10,10,11,15,6,10,14,19,22,11,13,11,12,10,8,9,10,10,9,6
1/14/2020,11,8,9,10,5,8,11,9,10,16,16,20,25,18,13,18,19,13,18,17,22,19,20,16
1/15/2020,15,12,11,11,7,3,9,9,12,13,7,14,15,14,9,15,12,7,10,9,8,10,8,9
1/16/2020,9,10,8,7,5,9,7,10,10,4,7,7,4,5,8,8,8,5,10,3,7,3,3,2
1/17/2020,3,5,3,6,7,2,-3,2,1,2,0,4,4,1,5,11,7,8,10,11,11,15,14,16
1/18/2020,7,5,8,8,5,7,9,12,12,5,1,3,6,3,4,8,8,3,5,1,4,3,5,2
1/19/2020,4,4,4,-1,2,1,0,0,2,0,3,3,2,1,2,6,-2,3,0,1,1,1,5,2
1/20/2020,8,4,4,5,4,1,4,7,6,5,2,7,3,1,0,7,0,3,15,9,5,7,6,13
1/21/2020,14,8,8,8,6,9,8,15,16,9,6,9,10,4,0,8,6,-2,2,6,5,3,-1,2
1/22/2020,10,4,6,5,4,3,2,11,2,6,4,7,2,5,1,4,7,5,2,5,10,8,12,6
1/23/2020,6,8,7,4,2,2,7,7,4,3,8,6,7,5,8,5,8,5,6,7,6,8,9,13
1/24/2020,17,16,6,12,6,6,6,11,6,3,6,7,-1,1,5,8,5,8,4,8,8,10,16,14
1/25/2020,16,14,10,13,16,14,16,12,20,18,12,5,4,5,4,7,4,4,9,2,5,3,5,9
1/26/2020,6,8,13,13,9,6,3,1,3,5,4,6,16,5,5,5,2,3,11,8,7,4,10,9
1/27/2020,15,11,8,7,10,5,11,10,17,18,18,11,9,7,6,9,7,9,4,8,11,12,9,10
1/28/2020,9,6,13,14,14,6,13,8,9,10,7,13,5,1,8,4,2,0,1,0,3,4,2,-3
1/29/2020,4,2,0,2,1,2,3,3,2,1,0,3,4,2,3,7,1,4,2,7,5,5,7,9
1/30/2020,5,8,7,3,9,6,5,10,2,9,3,4,2,7,7,5,6,9,7,2,7,7,8,8
1/31/2020,9,7,7,9,10,8,5,5,7,8,7,5,8,-1,3,7,1,7,2,8,6,7,13,14
